"customer_id","recency_days","frequency","monetary"
CUS000408,87,8,61376000.00
CUS000945,87,9,90658500.00
CUS000262,87,4,33164000.00
CUS000289,87,9,112710500.00
CUS000573,87,2,18057000.00
CUS000549,87,3,24469000.00
CUS000599,87,5,87229500.00
CUS000084,87,4,55753500.00
CUS000012,87,5,75214000.00
CUS000196,87,5,80953000.00
CUS000427,87,6,80375000.00
CUS000959,87,5,67429500.00
CUS000880,87,3,27812000.00
CUS000336,87,7,116513500.00
CUS000787,87,4,75719000.00
CUS000545,87,7,123374000.00
CUS000813,87,3,25079000.00
CUS000946,87,6,71748500.00
CUS000826,87,7,79753500.00
CUS000838,87,7,143993000.00
CUS000849,88,6,79641000.00
CUS000416,88,6,64730500.00
CUS000171,88,5,61121500.00
CUS000167,88,7,56325500.00
CUS000871,88,3,63375500.00
CUS000331,88,4,44578000.00
CUS000088,88,4,37137000.00
CUS000434,88,9,112812000.00
CUS000492,88,8,103087500.00
CUS000705,88,10,95530000.00
CUS000720,88,5,69260500.00
CUS000479,88,4,22633500.00
CUS000482,88,4,60077000.00
CUS000388,88,9,101900000.00
CUS000503,88,7,137877500.00
CUS000231,88,1,7333500.00
CUS000421,88,3,45635000.00
CUS000768,88,4,49271000.00
CUS000554,88,3,48067500.00
CUS000562,88,2,15558500.00
CUS000611,88,3,10714000.00
CUS000715,88,4,59301500.00
CUS000649,88,5,100552500.00
CUS000247,88,5,85736500.00
CUS000777,89,3,17682000.00
CUS000629,89,3,31881500.00
CUS000117,89,2,16123500.00
CUS000899,89,4,24256000.00
CUS000385,89,6,74109000.00
CUS000820,89,6,43411000.00
CUS000931,89,5,68178500.00
CUS000771,89,4,71597500.00
CUS000301,89,3,18920000.00
CUS000541,89,5,51495500.00
CUS000837,89,7,86848500.00
CUS000335,89,6,94870000.00
CUS000192,89,4,46036000.00
CUS000806,89,8,120604500.00
CUS000452,89,9,111616000.00
CUS000033,89,2,37731000.00
CUS000480,90,3,22455500.00
CUS000966,90,6,77675000.00
CUS000287,90,9,113193000.00
CUS000793,90,4,39554000.00
CUS000377,90,7,90699000.00
CUS000271,90,9,150793500.00
CUS000437,90,4,76242000.00
CUS000857,90,1,20801000.00
CUS000444,90,5,55116000.00
CUS000342,90,6,108124000.00
CUS000193,90,6,63792500.00
CUS000417,90,8,105283500.00
CUS000739,90,5,71099000.00
CUS000049,90,6,109931000.00
CUS000889,90,4,40544000.00
CUS000494,90,5,81161500.00
CUS000673,91,8,70231500.00
CUS000141,91,8,66019000.00
CUS000568,91,8,150558500.00
